id,name,country,region,population,climate,industries,corruption,pressFreedom,costOfLiving,affordability,govProgressiveness,militarySpending,economicOutlook,fossilFuelReliance,safety,healthcareQuality,educationQuality,internetQuality,airQuality,languageAccess,visaEase,sunshine,humidity,rainfall,winterWarmth,primaryLanguage,gdpPerCapita,density,nickname,lat,lon
sanDiego,San Diego,United States,Americas,1420000,subtropical,biotech;military;tourism,70,65,37,87,81,32,58,43,60,88,71,100,81,100,75,57,59,11,72,english,62,1700,America's Finest City,32.72,-117.16
telAviv,Tel Aviv,Israel,Middle East,460000,subtropical,tech;finance;startup,65,51,18,53,73,0,50,17,74,85,60,100,62,58,70,67,66,14,70,hebrew,52,8000,Startup Nation Capital,32.09,34.79
riyadh,Riyadh,Saudi Arabia,Middle East,7600000,desert,energy;finance;trade,63,27,69,89,9,0,57,2,75,83,33,98,17,18,39,82,0,1,75,arabic,25,780,Capital of Arabia,24.69,46.72
abuDhabi,Abu Dhabi,United Arab Emirates,Middle East,1540000,desert,energy;finance;tourism,72,26,64,86,18,,77,32,89,84,49,100,11,46,78,76,55,2,89,arabic,75,380,Gulf Capital,24.47,54.37
doha,Doha,Qatar,Middle East,600000,desert,energy;finance;tourism,63,58,67,92,25,,55,4,85,84,42,100,24,40,48,64,38,2,83,arabic,68,2100,Rising Gulf Star,25.29,51.53
muscat,Muscat,Oman,Middle East,900000,desert,energy;tourism;trade,58,42,72,88,24,0,48,5,81,73,41,97,,19,37,76,25,5,87,arabic,18,450,Pearl of Arabia,23.58,58.38
amman,Amman,Jordan,Middle East,1200000,subtropical,trade;tourism;finance,53,35,74,80,34,4,60,24,63,74,43,100,42,25,24,73,48,11,70,arabic,5,6600,White City,31.95,35.93
beirut,Beirut,Lebanon,Middle East,2200000,subtropical,tourism;finance;trade,21,42,65,49,41,48,0,44,53,67,30,22,62,42,21,65,63,18,69,arabic,7,7800,Paris of the Middle East,33.89,35.50
kuwaitCity,Kuwait City,Kuwait,Middle East,2990000,desert,energy;finance;trade,52,44,73,81,30,3,23,2,71,84,28,100,25,35,44,72,27,2,75,arabic,32,3300,Gulf Pearl,29.37,47.98
tehran,Tehran,Iran,Middle East,9300000,continental,energy;manufacturing;trade,25,16,95,41,10,60,51,6,43,81,44,,44,47,21,62,21,12,52,persian,5,11500,City of Firsts,35.69,51.39
manama,Manama,Bahrain,Middle East,650000,desert,finance;tourism;trade,53,30,74,92,12,42,68,0,,78,51,100,3,,39,64,59,2,84,arabic,24,2300,Pearl of the Gulf,26.22,50.57
lagos,Lagos,Nigeria,Africa,15000000,tropical,trade;finance;media,25,46,91,0,44,89,73,31,31,47,3,27,45,100,17,50,100,62,100,english,4,6500,Centre of Excellence,6.52,3.38
accra,Accra,Ghana,Africa,2500000,tropical,trade;finance;tourism,44,67,76,,80,92,87,36,,56,2,42,,100,26,57,99,47,100,english,4,1900,Gateway to West Africa,5.56,-0.20
casablanca,Casablanca,Morocco,Africa,3750000,subtropical,trade;finance;manufacturing,37,48,84,67,37,30,75,24,45,65,27,40,,47,33,64,79,19,73,arabic,5,4700,White City of Morocco,33.59,-7.62
tunis,Tunis,Tunisia,Africa,2290000,subtropical,tourism;trade;agriculture,43,43,87,66,42,50,43,4,52,76,28,15,,49,32,52,73,22,70,arabic,5,4200,Mediterranean Gem,36.82,10.17
addisAbaba,Addis Ababa,Ethiopia,Africa,3500000,subtropical,trade;government;agriculture,39,36,76,,18,87,100,100,50,33,16,23,59,50,22,77,66,43,79,amharic,2,8200,Capital of Africa,9.03,38.74
kigali,Kigali,Rwanda,Africa,1160000,subtropical,tourism;tech;trade,61,35,91,,21,75,100,50,,59,19,32,,100,30,58,80,52,90,english,2,3000,Land of a Thousand Hills,-1.94,30.06
darEsSalaam,Dar es Salaam,Tanzania,Africa,5400000,tropical,trade;tourism;manufacturing,42,53,90,,28,77,94,33,,49,29,26,,43,32,72,84,45,100,swahili,2,5000,Haven of Peace,-6.79,39.27
johannesburg,Johannesburg,South Africa,Africa,5635000,subtropical,finance;mining;trade,44,75,75,98,81,86,35,18,19,74,14,46,29,100,45,70,46,26,92,english,7,2800,City of Gold,-26.20,28.04
dakar,Dakar,Senegal,Africa,3730000,tropical,trade;fishing;tourism,50,59,,,70,69,98,20,,48,37,44,16,31,22,74,91,22,93,french,3,6200,Gateway to Africa,14.69,-17.44
abidjan,Abidjan,Ivory Coast,Africa,5170000,tropical,trade;finance;agriculture,42,63,74,,,85,100,29,,46,24,49,,14,22,50,97,57,100,french,4,4800,Paris of West Africa,5.35,-4.00
karachi,Karachi,Pakistan,Asia,16100000,subtropical,trade;manufacturing;finance,26,29,96,55,32,47,52,55,42,56,13,15,11,48,15,71,63,8,88,urdu,2,26000,City of Lights,24.86,67.01
lahore,Lahore,Pakistan,Asia,13100000,subtropical,trade;creative;education,26,29,96,53,32,47,52,55,64,56,13,15,0,48,15,57,20,24,72,urdu,2,11000,Heart of Pakistan,31.55,74.34
dhaka,Dhaka,Bangladesh,Asia,21700000,tropical,manufacturing;trade;textiles,26,33,92,52,44,81,81,2,38,54,23,52,0,52,17,49,82,87,84,bengali,3,44000,City of Mosques,23.81,90.41
islamabad,Islamabad,Pakistan,Asia,2000000,subtropical,government;tech;trade,26,29,93,68,32,47,52,55,69,56,13,15,35,48,15,57,32,40,69,urdu,3,1800,Green Capital,33.72,73.06
tashkent,Tashkent,Uzbekistan,Asia,2900000,continental,trade;manufacturing;government,33,35,87,79,12,,100,19,74,79,58,100,16,26,30,51,34,16,45,uzbek,3,7400,Crossroads of Civilizations,41.30,69.24
ankara,Ankara,Turkey,Asia,5750000,continental,government;manufacturing;trade,36,29,77,88,32,62,75,43,61,77,59,100,61,46,55,52,66,17,40,turkish,10,2300,Heart of Turkey,39.93,32.86
nagoya,Nagoya,Japan,Asia,2330000,subtropical,manufacturing;automotive;tech,75,63,,,96,73,32,33,,86,79,100,79,32,79,34,91,70,54,japanese,42,6900,Industrial Heart of Japan,35.18,136.91
sapporo,Sapporo,Japan,Asia,1970000,continental,tourism;food;manufacturing,75,63,,,96,73,32,33,,86,79,100,86,32,79,24,100,51,29,japanese,32,1800,Northern Capital,43.06,141.35
hiroshima,Hiroshima,Japan,Asia,1200000,subtropical,manufacturing;tourism;trade,75,63,,,96,73,32,33,,86,79,100,78,32,79,35,95,62,48,japanese,35,1300,City of Peace,34.39,132.46
chongqing,Chongqing,China,Asia,32000000,subtropical,manufacturing;tech;trade,50,14,90,79,9,66,89,42,,85,47,100,34,38,40,19,83,46,59,mandarin,12,380,Mountain City,29.56,106.55
xian,Xian,China,Asia,12900000,continental,history;manufacturing;tourism,50,14,91,81,9,66,89,42,,85,47,100,0,38,40,36,54,28,44,mandarin,12,3800,Ancient Capital,34.34,108.94
wuhan,Wuhan,China,Asia,11080000,subtropical,manufacturing;trade;education,50,14,86,78,9,66,89,42,,85,47,100,26,38,40,29,81,53,54,mandarin,18,1100,Chicago of China,30.59,114.31
nanjing,Nanjing,China,Asia,9300000,subtropical,education;tech;manufacturing,50,14,87,64,9,66,89,42,,85,47,100,20,38,40,31,83,48,49,mandarin,20,1500,Southern Capital,32.06,118.77
marseille,Marseille,France,Europe,870000,subtropical,trade;tourism;shipping,73,76,47,81,89,59,39,95,33,82,70,100,75,63,62,48,73,22,56,french,32,3600,Phocaean City,43.30,5.37
nice,Nice,France,Europe,342000,subtropical,tourism;finance;trade,73,76,45,77,89,59,39,95,45,82,70,100,80,63,62,45,80,27,68,french,38,5200,Pearl of the Riviera,43.71,7.26
turin,Turin,Italy,Europe,870000,continental,manufacturing;automotive;creative,59,68,57,83,87,68,34,49,48,82,64,100,60,54,62,33,68,31,47,italian,32,6700,City of Baroque,45.07,7.69
gdansk,Gdansk,Poland,Europe,485000,continental,trade;maritime;tourism,64,74,69,75,82,17,54,32,69,82,77,100,75,83,61,18,98,28,43,polish,18,1700,Amber City,54.35,18.65
valencia,Valencia,Spain,Europe,800000,subtropical,tech;tourism;food,62,77,67,75,91,71,61,75,62,84,69,100,79,63,63,52,61,16,63,spanish,28,5900,City of Arts and Science,39.47,-0.38
sarajevo,Sarajevo,Bosnia,Europe,275000,continental,tourism;trade;manufacturing,37,56,75,71,54,85,56,44,56,64,39,44,42,80,54,34,89,36,41,bosnian,7,2500,Jerusalem of Europe,43.85,18.39
ljubljana,Ljubljana,Slovenia,Europe,295000,continental,tourism;trade;tech,62,74,62,67,97,74,47,79,78,84,74,100,69,,60,28,93,42,42,slovenian,28,1100,Dragon City,46.05,14.51
poznan,Poznan,Poland,Europe,550000,continental,trade;education;tech,64,74,73,83,82,17,54,32,72,82,77,100,68,83,61,18,89,24,39,polish,18,2100,Poznan the Proud,52.41,16.93
beloHorizonte,Belo Horizonte,Brazil,Americas,2500000,subtropical,mining;finance;tech,40,63,83,69,73,81,62,89,41,84,38,100,75,44,74,59,80,48,92,portuguese,9,7300,Garden City,-19.92,-43.94
portoAlegre,Porto Alegre,Brazil,Americas,1480000,subtropical,trade;manufacturing;agriculture,40,63,83,68,73,81,62,89,30,84,38,100,,44,74,50,94,58,99,portuguese,10,2800,Gaucho Capital,-30.03,-51.23
brasilia,Brasilia,Brazil,Americas,3050000,tropical,government;finance;tech,40,63,83,74,73,81,62,89,42,84,38,100,,44,74,69,70,52,94,portuguese,20,520,Futuristic Capital,-15.78,-47.93
sanAntonio,San Antonio,United States,Americas,1500000,subtropical,military;healthcare;tourism,70,65,54,95,81,32,58,43,50,88,71,100,83,100,75,55,68,31,67,english,42,1100,Alamo City,29.42,-98.49
nashville,Nashville,United States,Americas,700000,subtropical,music;healthcare;tech,70,65,46,90,81,32,58,43,,88,71,100,,100,75,43,87,54,50,english,52,1400,Music City,36.17,-86.78
charlotte,Charlotte,United States,Americas,900000,subtropical,finance;tech;trade,70,65,48,95,81,32,58,43,51,88,71,100,84,100,75,48,82,46,54,english,55,1200,Queen City,35.23,-80.84
recife,Recife,Brazil,Americas,1650000,tropical,trade;tourism;agriculture,40,63,86,58,73,81,62,89,25,84,38,100,,44,74,79,85,57,100,portuguese,7,6300,Venice of Brazil,-8.05,-34.88
sanJuanPR,San Juan,United States,Americas,340000,tropical,tourism;finance;manufacturing,70,65,49,,81,32,58,43,33,88,71,100,75,,75,63,86,48,100,spanish,30,3800,La Ciudad Amurallada,18.47,-66.11
algiers,Algiers,Algeria,Africa,3700000,subtropical,energy;trade;government,36,44,89,28,31,0,73,1,49,70,25,76,57,39,25,55,67,26,65,arabic,5,3900,White City of Algeria,36.74,3.06
baghdad,Baghdad,Iraq,Middle East,7200000,subtropical,energy;trade;government,23,30,84,42,31,53,12,2,47,64,21,27,3,19,15,66,12,8,65,arabic,6,10000,City of Peace,33.34,44.40
kampala,Kampala,Uganda,Africa,1650000,tropical,trade;agriculture;tech,25,37,90,,33,62,99,97,,54,32,27,0,100,30,65,80,56,97,english,3,4200,City on Seven Hills,0.31,32.58
adelaide,Adelaide,Australia,Oceania,1400000,subtropical,education;wine;manufacturing,85,75,46,79,94,62,51,39,67,89,72,100,88,100,76,61,63,17,95,english,58,700,Festival City,-34.93,138.60
incheon,Incheon,South Korea,Asia,3000000,subtropical,trade;manufacturing;logistics,65,64,,,83,49,44,40,,88,79,100,23,57,80,37,85,49,37,korean,32,2600,Gateway to Korea,37.46,126.71
penang,Penang,Malaysia,Asia,750000,tropical,tech;tourism;food,58,56,85,81,53,80,83,21,71,80,49,100,58,77,76,60,98,94,100,malay,15,2500,Pearl of the Orient,5.41,100.33
bordeaux,Bordeaux,France,Europe,260000,temperate,wine;tourism;aerospace,73,76,51,80,89,59,39,95,50,82,70,100,79,63,62,34,88,30,58,french,35,3900,World Wine Capital,44.84,-0.58
bilbao,Bilbao,Spain,Europe,350000,temperate,industry;tourism;creative,62,77,64,78,91,71,61,75,51,84,69,100,81,63,63,32,85,40,67,spanish,28,4800,Guggenheim City,43.26,-2.93
baku,Baku,Azerbaijan,Asia,2300000,subtropical,energy;trade;tourism,32,25,85,64,6,0,54,12,70,67,39,91,,35,34,38,84,6,58,azerbaijani,6,2500,City of Winds,40.41,49.87
minsk,Minsk,Belarus,Europe,2000000,continental,manufacturing;trade;tech,36,25,84,77,7,59,66,41,51,80,63,,74,61,39,19,100,31,27,belarusian,7,7600,Hero City,53.91,27.57
tirana,Tirana,Albania,Europe,800000,subtropical,trade;tourism;construction,39,58,70,58,69,59,74,100,60,71,45,91,54,61,53,47,73,35,49,albanian,6,4200,Eagle City,41.33,19.83
jerusalem,Jerusalem,Israel,Middle East,920000,subtropical,tourism;government;education,65,51,30,57,73,0,50,17,64,85,60,100,71,58,70,73,66,14,70,hebrew,45,6200,Holy City,31.78,35.22
frankfurt,Frankfurt,Germany,Europe,760000,temperate,finance;trade;aviation,84,83,49,85,95,62,20,59,54,87,72,100,81,88,61,19,88,27,45,german,75,3100,Mainhattan,50.11,8.68
manchester,Manchester,United Kingdom,Europe,550000,temperate,media;tech;education;creative,78,78,52,85,92,54,36,64,44,88,73,100,84,100,75,14,100,40,52,english,45,4700,Madchester,53.48,-2.24
hangzhou,Hangzhou,China,Asia,12000000,subtropical,tech;finance;tourism,50,14,82,54,9,66,89,42,,85,47,100,40,38,40,30,89,57,52,mandarin,22,1000,Heaven on Earth,30.27,120.15
varanasi,Varanasi,India,Asia,1500000,subtropical,tourism;silk;education,42,32,,,62,55,100,27,,69,33,48,0,45,26,55,40,33,80,hindi,2,8500,City of Light,25.32,82.97
liverpool,Liverpool,United Kingdom,Europe,500000,temperate,maritime;tourism;education;creative,78,78,53,92,92,54,36,64,53,88,73,100,86,100,75,14,100,39,55,english,32,4600,Pool of Life,53.41,-2.98
salzburg,Salzburg,Austria,Europe,155000,continental,tourism;education;music,74,78,44,,94,80,22,84,,84,69,100,83,89,62,24,97,51,41,german,55,1700,City of Mozart,47.80,13.04
detroit,Detroit,United States,Americas,670000,continental,automotive;manufacturing;music,70,65,52,95,81,32,58,43,27,88,71,100,81,100,75,35,89,34,34,english,32,1600,Motor City,42.33,-83.05
kyiv,Kyiv,Ukraine,Europe,2800000,continental,tech;government;education,34,63,85,73,51,0,69,72,54,80,59,100,53,59,66,26,88,25,31,ukrainian,5,3800,Mother of Rus Cities,50.45,30.52
chennai,Chennai,India,Asia,10900000,tropical,automotive;tech;education,42,32,97,82,62,55,100,27,60,69,33,48,51,45,26,63,77,50,98,tamil,8,11000,Detroit of Asia,13.08,80.27
sanjoseca,San Jose,United States,Americas,1000000,subtropical,tech;finance;healthcare,70,65,33,86,81,32,58,43,52,88,71,100,87,100,75,65,77,20,63,english,100,2100,Capital of Silicon Valley,37.34,-121.89
antwerp,Antwerp,Belgium,Europe,540000,temperate,trade;diamonds;fashion,78,80,49,89,95,74,40,72,60,86,72,100,78,86,62,20,97,31,50,dutch,52,4700,Diamond Capital,51.22,4.40
oakland,Oakland,United States,North America,440000,temperate,tech;creative;trade,70,65,36,,81,32,58,43,31,88,71,100,85,100,75,53,85,23,65,english,65,3200,Town,37.8,-122.27
fortWorth,Fort Worth,United States,North America,960000,subtropical,manufacturing;aerospace;trade,70,65,48,97,81,32,58,43,,88,71,100,,100,75,55,66,34,58,english,55,1100,Cowtown,32.75,-97.33
baltimore,Baltimore,United States,North America,620000,temperate,healthcare;education;maritime,70,65,46,98,81,32,58,43,29,88,71,100,84,100,75,40,87,46,42,english,52,2800,Charm City,39.29,-76.61
columbus,Columbus,United States,North America,905000,continental,tech;education;finance,70,65,47,96,81,32,58,43,51,88,71,100,82,100,75,37,87,39,39,english,55,1500,Cbus,39.96,-82.99
honolulu,Honolulu,United States,North America,350000,tropical,tourism;military;trade,70,65,17,80,81,32,58,43,53,88,71,100,94,100,75,72,82,31,96,english,65,2300,Paradise City,21.31,-157.86
memphis,Memphis,United States,North America,620000,subtropical,logistics;healthcare;tourism,70,65,,,81,32,58,43,22,88,71,100,84,100,75,48,82,54,53,english,42,730,Bluff City,35.15,-90.05
milwaukee,Milwaukee,United States,North America,580000,continental,manufacturing;finance;healthcare,70,65,53,,81,32,58,43,34,88,71,100,81,100,75,32,91,38,29,english,45,2300,Brew City,43.04,-87.91
kansasCity,Kansas City,United States,North America,500000,continental,finance;tech;logistics,70,65,52,98,81,32,58,43,41,88,71,100,83,100,75,43,82,41,40,english,50,600,City of Fountains,39.1,-94.58
indianapolis,Indianapolis,United States,North America,870000,continental,pharma;auto;sports,70,65,50,98,81,32,58,43,40,88,71,100,78,100,75,39,90,46,38,english,52,900,Indy,39.77,-86.16
raleigh,Raleigh,United States,North America,470000,subtropical,tech;education;pharma,70,65,53,96,81,32,58,43,51,88,71,100,83,100,75,48,84,47,52,english,62,1500,City of Oaks,35.78,-78.64
jacksonville,Jacksonville,United States,North America,950000,subtropical,banking;military;healthcare,70,65,54,98,81,32,58,43,44,88,71,100,85,100,75,55,87,51,69,english,48,500,Jax,30.33,-81.66
saltLakeCity,Salt Lake City,United States,North America,210000,continental,tech;healthcare;tourism,70,65,54,94,81,32,58,43,64,88,71,100,83,100,75,55,53,22,34,english,58,800,Salt Lake,40.76,-111.89
venice,Venice,Italy,Europe,260000,temperate,tourism;creative,59,68,,,87,68,34,49,,82,64,100,58,54,62,36,79,38,56,italian,38,600,La Serenissima,45.44,12.33
toulouse,Toulouse,France,Europe,470000,temperate,aerospace;tech;education,73,76,50,83,89,59,39,95,50,82,70,100,80,63,62,36,82,31,56,french,48,3800,Pink City,43.6,1.44
wroclaw,Wrocław,Poland,Europe,670000,continental,tech;manufacturing;education,64,74,70,76,82,17,54,32,75,82,77,100,67,83,61,20,88,25,39,polish,25,2200,Florence of Poland,51.11,17.04
birmingham,Birmingham,United Kingdom,Europe,1100000,temperate,manufacturing;finance;tech,78,78,50,89,92,54,36,64,36,88,73,100,84,100,75,17,100,31,52,english,38,4100,Second City,52.48,-1.9
palermo,Palermo,Italy,Europe,660000,subtropical,tourism;trade;agriculture,59,68,64,,87,68,34,49,54,82,64,100,74,54,62,53,78,28,67,italian,22,4200,Golden Shell,38.12,13.36
malaga,Málaga,Spain,Europe,580000,subtropical,tourism;tech;trade,62,77,68,78,91,71,61,75,68,84,69,100,84,63,63,59,80,20,73,spanish,28,2100,Costa del Sol Capital,36.72,-4.42
jeddah,Jeddah,Saudi Arabia,Middle East,4700000,desert,trade;finance;tourism,63,27,75,95,9,0,57,2,75,83,33,98,,18,39,82,28,1,96,arabic,28,2100,Bride of the Red Sea,21.49,39.19
alexandria,Alexandria,Egypt,Middle East,5200000,subtropical,trade;maritime;tourism,31,24,96,,18,87,69,13,55,71,19,44,,36,25,67,60,4,75,arabic,6,19200,Bride of the Mediterranean,31.2,29.92
chiangMai,Chiang Mai,Thailand,Asia,130000,subtropical,tourism;creative;tech,37,56,86,,33,78,57,17,78,82,42,100,47,17,39,55,81,50,87,thai,8,1200,Rose of the North,18.79,98.98
jaipur,Jaipur,India,Asia,3200000,subtropical,tourism;textiles;gems,42,32,98,83,62,55,100,27,64,69,33,48,0,45,26,67,20,21,77,hindi,4,6400,Pink City,26.91,75.79
pune,Pune,India,Asia,3100000,subtropical,tech;auto;education,42,32,95,87,62,55,100,27,59,69,33,48,13,45,26,61,67,69,89,marathi,7,5500,Oxford of the East,18.52,73.86
ahmedabad,Ahmedabad,India,Asia,5500000,subtropical,textiles;pharma;tech,42,32,96,86,62,55,100,27,68,69,33,48,45,45,26,69,33,31,89,gujarati,5,11700,Manchester of India,23.02,72.57
kochi,Kochi,India,Asia,2100000,tropical,maritime;tech;tourism,42,32,99,,62,55,100,27,,69,33,48,38,45,26,63,89,100,100,malayalam,5,5500,Queen of the Arabian Sea,9.94,76.27
udaipur,Udaipur,India,Asia,450000,subtropical,tourism;marble;textiles,42,32,,,62,55,100,27,,69,33,48,0,45,26,67,29,26,81,hindi,3,3500,City of Lakes,24.57,73.69
suzhou,Suzhou,China,Asia,10700000,subtropical,manufacturing;tech;trade,50,14,82,,9,66,89,42,,85,47,100,38,38,40,32,88,48,52,mandarin,25,1200,Venice of the East,31.3,120.62
yogyakarta,Yogyakarta,Indonesia,Asia,400000,tropical,tourism;education;creative,37,44,,,56,84,88,18,,67,32,37,,40,39,62,96,86,100,javanese,4,14000,City of Students,-7.8,110.37
fez,Fez,Morocco,Africa,1100000,subtropical,tourism;leather;creative,37,48,,,37,30,75,24,,65,27,40,,47,33,62,51,29,66,arabic,4,5500,Athens of Africa,34.03,-5.0
kinshasa,Kinshasa,Democratic Republic of Congo,Africa,17000000,tropical,trade;mining;creative,17,42,,,18,75,100,100,,41,3,34,,17,21,49,90,76,100,french,1,4500,Kin la Belle,-4.32,15.32
luanda,Luanda,Angola,Africa,8900000,tropical,energy;trade;finance,35,52,,,28,80,64,74,,44,9,24,,21,23,55,89,13,100,portuguese,6,5700,Tropical Paris,-8.84,13.23
douala,Douala,Cameroon,Africa,3300000,tropical,trade;manufacturing;maritime,23,42,,,15,80,67,73,,48,26,18,,32,24,44,100,98,100,french,3,4200,Economic Capital,4.05,9.7
cordoba,Córdoba,Argentina,Latin America,1600000,subtropical,automotive;tech;education,41,56,71,,85,88,30,42,40,80,36,99,,75,74,60,60,32,96,spanish,10,2800,La Docta,-31.41,-64.18
salvador,Salvador,Brazil,Latin America,2900000,tropical,tourism;petrochemicals;creative,40,63,85,,73,81,62,89,24,84,38,100,,44,74,64,85,48,100,portuguese,8,3800,African Rome,-12.97,-38.5
fortaleza,Fortaleza,Brazil,Latin America,2700000,tropical,tourism;manufacturing;fishing,40,63,84,53,73,81,62,89,24,84,38,100,,44,74,74,87,43,100,portuguese,7,7600,City of Light,-3.72,-38.54
rosario,Rosario,Argentina,Latin America,1300000,subtropical,agriculture;manufacturing;trade,41,56,,,85,88,30,42,,80,36,99,,75,74,56,73,44,100,spanish,9,2400,La Chicago Argentina,-32.94,-60.64
cali,Cali,Colombia,Latin America,2200000,subtropical,agriculture;manufacturing;tourism,42,49,84,,69,33,46,77,29,82,40,100,54,43,59,43,97,41,80,spanish,7,4200,Salsa Capital,3.43,-76.52
cologne,Cologne,Germany,Europe,1100000,temperate,media;automotive;chemistry,84,83,49,78,95,62,20,59,55,87,72,100,79,88,61,19,93,32,48,german,48,2700,Cathedral City,50.94,6.96
